,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
% of the |errors| > 10,0.003214187,0.001693107,0.002857405,0.003291219,0.002108358,0.002981633,0.00192288,0.002594086,0.00343608,0.002222324,0.039437227,0.020784908,0.033463742,0.041144691,0.028075803,0.003316975,0.002413589,0.003676777,0.003425719,0.00256559,0.002480459,0.001216741,0.00200988,0.00288806,0.00177801,0.042845013
95th percentile of errors,4.022252958,3.666241037,4.044885712,4.054683825,3.818298606,4.023253391,3.615783948,3.862912572,4.0803975,3.684310724,9.102225734,7.130096515,8.487547845,9.250290431,7.951613492,4.126370806,3.667780232,4.069642287,4.127050658,3.941200223,3.750366499,2.857488664,3.444593849,3.886907261,3.23344515,9.40174917
% of the |errors| > 10,0.003268171,0.001800132,0.00288238,0.003639573,0.002464437,0.003185877,0.002159877,0.002548019,0.003408237,0.002284142,0.038558123,0.018736629,0.03180651,0.04028587,0.026484817,0.003492985,0.002572221,0.003704348,0.003700348,0.002915464,0.002999656,0.001624527,0.00255113,0.003495895,0.002351709,0.041962349
Mean distance to NN monitor/sensor,9681.064009,6381.462285,9090.755337,10035.57349,7490.446738,9520.653982,6703.262909,8531.065707,10005.07446,7579.260921,39267.15901,28312.79748,36256.3425,40352.53735,32628.53957,9384.552943,6281.18227,8274.797957,10037.11074,7307.683526,8019.083107,3728.67034,6301.070868,9116.94892,4953.012731,41724.47511
Mean distance to NN monitor/sensor,8747.954401,5918.277358,8269.220004,9001.446433,6811.236213,8306.988957,5916.183375,7505.901201,8795.799894,6581.478242,50919.16266,35621.01383,46452.46376,52338.72083,41436.60576,8426.054904,5978.929899,7457.453889,9244.667865,6794.343572,7106.398211,3166.193144,5538.958434,8190.108695,4304.854932,53663.68106
Mean distance to NN monitor/sensor,8349.570814,5421.026704,7554.646821,8739.357166,6377.921183,8070.943635,5303.532647,6841.143681,8521.235763,5979.967312,46065.66074,33377.71242,41760.22868,46975.22407,38323.89078,8174.45752,5684.390298,7244.587711,8707.203296,6466.318864,6875.06913,3350.104805,5486.942955,7901.900254,4485.47343,47927.39256
"Mean distance to NN monitor/sensor, among misclassifications > 1",9151.844206,5322.578109,8632.859216,9452.709945,6650.21406,8999.397823,5779.068925,7090.425393,9471.953162,6377.268471,60222.13732,45096.83909,56704.79722,61048.07141,52126.12604,21493.50887,10254.55585,13622.15903,24132.48642,13530.76703,35094.11232,19331.43885,38434.23815,22793.2339,21200.00186,62161.90756
"Mean distance to NN monitor/sensor, among misclassifications > 1",8364.753893,5076.223899,7726.307165,8617.223566,6198.435324,8092.033797,5294.894745,6524.837301,8620.019321,5772.544129,80359.35269,50592.99155,72032.85006,81572.25272,62877.75198,23764.2526,11522.58468,13512.81873,24321.67573,14031.93473,26197.07984,7343.113967,29938.16588,12897.81195,8701.823774,82398.9077
"Mean distance to NN monitor/sensor, among misclassifications > 1",7432.835736,4700.611378,6677.162751,7887.493142,5694.901317,7445.634799,4392.968092,5787.891021,7776.484578,4951.930449,77140.89811,52034.25932,69824.54151,77218.85013,65117.84759,23955.25955,11438.5623,13711.7855,25373.02135,13560.21127,41540.80732,30241.14872,39737.91065,19112.6013,34695.77779,76834.54728
Median distance to NN monitor/sensor,8275.503512,5858.154746,7922.912834,8524.585097,6699.54497,8006.788044,5751.987271,7216.599339,8418.073931,6505.660204,28881.78637,20430.40089,26379.44508,29915.51254,23658.83872,7771.211181,5661.250023,6946.010207,8212.521322,6396.393507,5950.810547,2342.478033,4256.746311,6756.718209,3280.483487,31315.47697
Median distance to NN monitor/sensor,7678.267012,5578.292321,7427.748744,7763.003289,6259.325404,7133.492375,5208.193666,6495.534494,7636.817618,5746.222299,28671.24751,22673.96109,27027.5031,29264.03976,25334.72673,7131.094121,5543.225743,6468.082206,7682.757145,5892.422774,5117.611933,2198.377518,3603.116944,6004.908349,2859.460177,29903.98762
Median distance to NN monitor/sensor,6660.850477,4802.823049,6324.417928,6768.094709,5596.859354,6317.577634,4487.031088,5260.454484,6594.214527,4854.214748,32950.17461,23856.41043,30157.5734,33929.17428,27517.08295,6459.870736,4896.622095,5879.566379,6643.879141,5276.515153,4459.653521,2276.123885,3415.123425,5266.124241,2717.818278,35100.89759
"Median distance to NN monitor/sensor, among misclassifications > 1",7818.623372,4923.252427,7573.336846,8040.458573,5855.175705,7523.951345,4858.246115,5807.272448,7816.929467,5502.943763,48145.03814,38966.91019,46307.45132,48671.55867,43434.81687,20016.79274,8500.696324,11517.4607,21014.92557,15719.00704,32838.28445,7930.916638,39607.60873,12240.92729,9248.496915,49260.68056
"Median distance to NN monitor/sensor, among misclassifications > 1",7272.083458,4748.359149,6836.012044,7376.793262,5626.576619,6819.303797,4684.91109,5551.837578,7300.151741,5050.165788,68424.03244,49542.78382,64006.24074,68307.78504,59161.66283,21572.25332,9213.366634,11428.29488,22302.24371,16916.04682,20900.81189,4456.655085,27433.1762,8303.706723,4347.599413,67315.34921
"Median distance to NN monitor/sensor, among misclassifications > 1",6143.214106,4242.847643,5785.81673,6442.577444,4916.205804,5804.091116,3805.113303,4475.547166,6084.820036,4117.9659,63548.99516,51709.66332,62603.58414,62375.03356,63067.58187,20513.96003,9092.824399,11257.74007,22274.00697,14659.49598,49664.35454,42127.93101,47930.04442,5543.169291,46500.9094,60953.99768
Mean % of NNs that are LCSs,0.086276175,0.487932445,0.148275222,0.057631526,0.349613962,0.122739535,0.50395617,0.263949644,0.063972894,0.402837919,0.191093507,0.693100056,0.35947828,0.115022364,0.521066393,0.151965088,0.531469158,0.266322604,0.086423376,0.399174643,0.437837001,0.898667535,0.651050271,0.29569542,0.79052453,0.346338162
Mean % of NNs that are LCSs,0.061953926,0.458339958,0.106692603,0.044456175,0.325740309,0.139936118,0.509034258,0.274972981,0.068767041,0.420866603,0.166373448,0.654840754,0.336680113,0.091881389,0.4909804,0.136703137,0.463219933,0.240309742,0.076735296,0.349074292,0.477326409,0.908243887,0.678865922,0.33770301,0.806391608,0.429099434
Mean % of NNs that are LCSs,0.069684242,0.420540859,0.130120258,0.044961231,0.284176271,0.105565218,0.478074263,0.29115256,0.071262563,0.412168571,0.138163929,0.661913137,0.309471306,0.074081964,0.462738693,0.110333946,0.39341658,0.202982314,0.072435877,0.29920421,0.421747794,0.873221812,0.600949589,0.312347602,0.763007355,0.387546979
