,CES_pollution_N_100,CES_pollution_N_1000,CES_pollution_N_250,CES_pollution_N_50,CES_pollution_N_500,CES_score_N_100,CES_score_N_1000,CES_score_N_250,CES_score_N_50,CES_score_N_500,PA_N_100,PA_N_1000,PA_N_250,PA_N_50,PA_N_500,Roads_N_100,Roads_N_1000,Roads_N_250,Roads_N_50,Roads_N_500,School_N_100,School_N_1000,School_N_250,School_N_50,School_N_500,AQS
95th percentile of errors,4.007730573,3.725972089,3.92768658,4.035193033,3.840430387,4.008663272,3.887212699,3.962761098,4.102009597,4.004536448,3.844949772,3.167062225,3.616783879,3.971182684,3.39381068,4.058431178,3.618785549,3.895127279,4.104004781,3.807124867,3.528513802,2.63570916,3.270480908,3.748865919,2.912021737,4.137826604
% of the |errors| > 10,0.00265896,0.001932788,0.002129257,0.002819424,0.002282135,0.002394176,0.001837433,0.002295487,0.002894988,0.002025986,0.002639235,0.00170726,0.00231693,0.002840575,0.002033651,0.002762473,0.001993253,0.002484718,0.002917947,0.002321007,0.001767838,0.000941691,0.00171254,0.002137104,0.001148331,0.003179455
95th percentile of errors,4.016430538,3.708864981,3.872582232,4.064708482,3.764027493,3.910991203,3.815956592,3.824322596,3.968155641,3.93120698,3.890143478,3.340328857,3.720586968,3.965709841,3.543037912,3.944802149,3.547588003,3.846671217,4.015915911,3.717390223,3.622032678,2.831533235,3.401619511,3.780519142,3.168148686,4.054874436
% of the |errors| > 10,0.003294323,0.001952019,0.002299994,0.003580808,0.002233295,0.002655699,0.001976995,0.002530225,0.002902676,0.002345026,0.003176041,0.002173216,0.00282183,0.003352707,0.002512025,0.002798575,0.001970543,0.002531447,0.003183233,0.002326248,0.002580587,0.001348198,0.002361895,0.003104575,0.001855963,0.003605449
Mean distance to NN monitor/sensor,9168.39398,6412.72707,8365.921946,9472.964874,7544.524448,9103.854949,7032.084962,8645.047893,9764.139821,7908.080956,8061.000473,4535.312554,6772.512599,8825.725448,5683.655095,8946.316927,5839.837417,7948.910451,9485.602047,7107.6424,7272.642098,3147.905653,5472.323848,8154.617913,4189.55645,10108.20379
Mean distance to NN monitor/sensor,8046.588035,5821.446962,7415.202456,8331.232014,6778.755802,8023.605932,6452.371929,7812.674718,8626.449594,7137.442861,7430.6485,4471.711179,6374.464187,8023.17269,5472.47734,8236.672006,5576.713681,7481.404309,8600.488359,6723.433055,6121.462637,2502.357196,4541.929766,6876.922557,3462.982264,8943.635556
Mean distance to NN monitor/sensor,7598.057716,5301.875091,6803.952724,7929.016974,6142.55199,7313.710166,5553.983518,6985.246253,8067.10619,6130.196959,7731.837527,4987.494566,6892.292861,8150.602213,6017.377569,7782.889777,5325.563678,6994.194633,8180.529992,6246.839455,6249.720487,2952.089033,5060.860648,7037.492696,4020.954311,8688.060498
"Mean distance to NN monitor/sensor, among misclassifications > 1",8133.502884,5503.716483,7060.610404,8495.556614,6349.2281,7900.236894,6079.607294,7547.46068,8903.616211,6423.012476,33379.06941,15846.68034,28442.37603,35297.49611,21386.83457,24539.39576,9507.60219,16725.57441,30075.64543,15593.43167,30486.51139,5613.869923,14900.95178,38256.37243,9122.458677,38741.89289
"Mean distance to NN monitor/sensor, among misclassifications > 1",7479.186922,5158.030269,6424.401228,7811.353225,5775.931237,7305.006099,5557.785762,7075.849344,8073.24498,5776.670108,28430.19493,14662.67974,24437.78339,30324.94201,18735.46237,28117.65082,10795.81125,16273.73418,25889.6156,12267.17277,23641.20961,3765.570029,9249.962243,32036.61131,7722.042061,32798.45083
"Mean distance to NN monitor/sensor, among misclassifications > 1",6841.547202,4180.842324,5557.075798,7306.67003,4812.591988,6472.520099,4688.386663,6177.700026,6959.044095,4850.78227,37834.49445,18888.81566,31654.31629,39031.93275,23871.3245,28812.11647,12154.67373,16201.22063,29579.31875,14199.1815,43820.89496,6299.19516,32644.3013,40926.10273,7640.363452,41086.75937
